Data da Venda,Mês,Região,Vendedor,Código Vendedor,Seção,Vendas
2018-03-13,MAR,Sudeste,Roberto,1,Telefonia,13437.93
2018-04-28,ABR,Sudeste,Ronaldo,8,Automotivo,6498.74
2018-02-08,FEV,Norte,Rafael,6,Automotivo,11356.45
2018-04-29,ABR,Norte,Roberta,4,Livros,7588.64
2018-01-17,JAN,Nordeste,Roberto,1,Informática,9256.22
2018-04-03,ABR,Norte,Rodrigo,3,Games,4232.26
2018-02-03,FEV,Nordeste,Renata,5,Móveis,6011.44
2018-03-16,MAR,Sul,Rodrigo,3,Eletrodomésticos,6030.37
2018-04-20,ABR,Sul,Rodrigo,3,Games,6276.06
2018-02-22,FEV,Sudeste,Roberto,1,Informática,6040.79
2018-01-23,JAN,Nordeste,Renata,5,Informática,3971.52
2018-01-19,JAN,Sul,Ricardo,2,Eletrônicos,3302.31
2018-05-06,MAI,Nordeste,Ricardo,2,Eletrônicos,2394.6
2018-03-14,MAR,Sul,Renata,5,Móveis,2634.95
2018-02-16,FEV,Sudeste,Roberta,4,Móveis,19228.1
2018-02-25,FEV,Sudeste,Rafael,6,Telefonia,5561.28
2018-05-22,MAI,Norte,Roberto,1,Informática,19228.1
2018-05-21,MAI,Sul,Renata,5,Telefonia,5032.87
2018-01-24,JAN,Sul,Roberta,4,Eletrônicos,1229.51
2018-05-13,MAI,Nordeste,Rafael,6,Informática,18123.79
2018-03-19,MAR,Sudeste,Ronaldo,8,Móveis,9435.66
2018-01-14,JAN,Sudeste,Rodrigo,3,Móveis,3689.53
2018-04-09,ABR,Nordeste,Ronaldo,8,Informática,9373.75
2018-04-21,ABR,Sudeste,Roberto,1,Informática,5387.4
2018-03-11,MAR,Sul,Renata,5,Eletrônicos,11320.6
2018-04-24,ABR,Sudeste,Roberto,1,Telefonia,3432.08
2018-01-26,JAN,Norte,Rafael,6,Telefonia,4296.95
2018-02-27,FEV,Sul,Ronaldo,8,Eletrônicos,1277.84
2018-02-20,FEV,Sudeste,Ronaldo,8,Telefonia,5236.31
2018-02-03,FEV,Sul,Rafael,6,Telefonia,3830.53
2018-04-27,ABR,Sul,Ronaldo,8,Livros,7396.61
2018-04-12,ABR,Sul,Roberta,4,Telefonia,11309.56
2018-05-08,MAI,Sudeste,Rodrigo,3,Games,9578.06
2018-05-12,MAI,Sul,Rafael,6,Telefonia,2511.22
2018-01-16,JAN,Norte,Raquel,7,Eletrônicos,6095.24
2018-03-19,MAR,Nordeste,Renata,5,Eletrônicos,5469.33
2018-04-17,ABR,Nordeste,Rafael,6,Automotivo,2041.72
2018-04-13,ABR,Sudeste,Ronaldo,8,Informática,5306.44
2018-05-04,MAI,Sul,Rafael,6,Automotivo,7688.63
2018-02-10,FEV,Sudeste,Roberto,1,Eletrônicos,2716.02
2018-05-04,MAI,Norte,Renata,5,Games,15027.21
2018-05-14,MAI,Sul,Rafael,6,Eletrônicos,5186.32
2018-03-05,MAR,Sul,Ricardo,2,Telefonia,17751.46
2018-04-21,ABR,Sul,Ronaldo,8,Automotivo,3814.23
2018-03-25,MAR,Sudeste,Rafael,6,Games,3296.88
2018-05-01,MAI,Nordeste,Roberta,4,Informática,5115.3
2018-01-22,JAN,Sudeste,Ronaldo,8,Livros,19228.1
2018-02-15,FEV,Sul,Ricardo,2,Telefonia,19228.1
2018-03-18,MAR,Sul,Renata,5,Eletrônicos,15262.86
2018-03-25,MAR,Sudeste,Renata,5,Eletrônicos,3896.7
2018-05-08,MAI,Norte,Raquel,7,Eletrônicos,5555.22
2018-01-22,JAN,Sudeste,Roberto,1,Games,19228.1
2018-03-11,MAR,Sul,Ricardo,2,Informática,4762.37
2018-05-21,MAI,Norte,Ronaldo,8,Livros,8817.71
2018-03-03,MAR,Nordeste,Rafael,6,Automotivo,10747.72
2018-02-14,FEV,Sudeste,Rodrigo,3,Livros,3456.97
2018-04-06,ABR,Nordeste,Ronaldo,8,Informática,3856.84
2018-04-08,ABR,Sul,Rafael,6,Livros,9582.67
